index    Exx    Eyy    Exy    Ezz
  151  0.047  0.048 -0.001 -0.095
  152  0.048  0.049 -0.001 -0.097
  153  0.049  0.050 -0.001 -0.098
  154  0.050  0.050 -0.001 -0.100
  155  0.050  0.051 -0.001 -0.101
  156  0.051  0.052 -0.001 -0.103
  157  0.052  0.053 -0.001 -0.105
  158  0.053  0.054 -0.001 -0.106
  159  0.053  0.054 -0.001 -0.107
  160  0.054  0.055 -0.001 -0.109
  161  0.055  0.056 -0.001 -0.111
  162  0.056  0.057 -0.001 -0.113
  163  0.057  0.058 -0.001 -0.114
  164  0.057  0.058 -0.001 -0.116
  165  0.058  0.059 -0.001 -0.117
  166  0.059  0.060 -0.001 -0.119
  167  0.060  0.061 -0.001 -0.121
  168  0.061  0.062 -0.001 -0.123
  169  0.062  0.063 -0.001 -0.125
  170  0.063  0.064 -0.001 -0.126
  171  0.063  0.065 -0.001 -0.128
  172  0.064  0.065 -0.001 -0.130
  173  0.065  0.066 -0.001 -0.132
  174  0.066  0.068 -0.001 -0.134
  175  0.067  0.068 -0.001 -0.135
  176  0.068  0.070 -0.001 -0.137
  177  0.069  0.070 -0.001 -0.139
  178  0.070  0.071 -0.001 -0.141
  179  0.071  0.072 -0.001 -0.143
  180  0.072  0.073 -0.001 -0.145
  181  0.073  0.074 -0.001 -0.147
  182  0.074  0.075 -0.001 -0.149
  183  0.075  0.076 -0.001 -0.151
  184  0.076  0.077 -0.001 -0.153
  185  0.077  0.078 -0.001 -0.155
  186  0.078  0.079 -0.001 -0.157
  187  0.079  0.080 -0.001 -0.159
  188  0.080  0.081 -0.001 -0.161
  189  0.081  0.082 -0.001 -0.163
  190  0.082  0.083 -0.001 -0.165
  191  0.083  0.084 -0.001 -0.167
  192  0.084  0.085 -0.001 -0.170
  193  0.085  0.087 -0.001 -0.172
  194  0.086  0.088 -0.001 -0.174
  195  0.087  0.089 -0.001 -0.176
  196  0.088  0.090 -0.001 -0.178
  197  0.089  0.091 -0.001 -0.181
  198  0.090  0.092 -0.001 -0.182
  199  0.090  0.092 -0.001 -0.182
  200  0.090  0.092 -0.001 -0.182
  201  0.090  0.092 -0.001 -0.182
  202  0.090  0.092 -0.001 -0.182
  203  0.090  0.091 -0.001 -0.182
  204  0.090  0.092 -0.001 -0.182
  205  0.185  0.185 -0.001 -0.370
  206  0.185  0.185 -0.001 -0.370
  207  0.275  0.272 -0.001 -0.547
  208  0.275  0.272 -0.001 -0.547
  209  0.305  0.300 -0.001 -0.605
  210  0.305  0.300 -0.001 -0.605
  211  0.337  0.330 -0.001 -0.668
  212  0.337  0.330 -0.001 -0.668
  213  0.366  0.356 -0.002 -0.722
  214  0.366  0.357 -0.002 -0.722
  215  0.394  0.382 -0.002 -0.776
  216  0.394  0.382 -0.002 -0.776
  217  0.409  0.395 -0.002 -0.804
  218  0.408  0.395 -0.002 -0.804
  219  0.424  0.409 -0.003 -0.832
  220  0.424  0.409 -0.003 -0.832
  221  0.431  0.415 -0.003 -0.847
  222  0.431  0.416 -0.003 -0.847
  223  0.430  0.414 -0.003 -0.844
