index    Exx    Eyy    Exy    Ezz
    0  0.000  0.000  0.000 -0.000
    1  0.000  0.000 -0.000 -0.000
    2  0.000  0.000 -0.000 -0.000
    3 -0.000 -0.000  0.000  0.000
    4  0.000  0.000 -0.000 -0.000
    5  0.000  0.000 -0.000 -0.001
    6  0.000  0.001 -0.000 -0.001
    7  0.000  0.001 -0.000 -0.001
    8  0.001  0.001  0.000 -0.001
    9  0.000  0.001  0.000 -0.001
   10  0.035  0.037  0.000 -0.072
   11  0.035  0.037  0.000 -0.072
   12  0.164  0.168  0.000 -0.332
   13  0.164  0.168  0.000 -0.332
   14  0.228  0.229  0.000 -0.457
   15  0.228  0.229  0.000 -0.457
   16  0.291  0.288  0.000 -0.578
   17  0.291  0.288  0.000 -0.578
   18  0.354  0.345 -0.000 -0.700
   19  0.355  0.345 -0.000 -0.700
   20  0.386  0.373 -0.001 -0.759
   21  0.386  0.373 -0.000 -0.759
